PFID Old Name,PFID New Name,Annotation,Map_Name,Map Link,Enzyme,E C,Synonyms List
PFA0675w,PF3D7_0114000,exported protein family 1,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,exported protein family 1_ EPF1, ,
PFA0675w,PF3D7_0114000,exported protein family 1,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,q-gene, ,
PFA0675w,PF3D7_0114000,exported protein family 1,Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte,http://mpmp.huji.ac.il/maps/RBC_memb_remodel.html,exported protein family 1 EPF1, ,
PFA0680c,PF3D7_0114100,Pfmc-2TM Maurer_s cleft two transmembrane protein,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,Pfmc-2tm, ,
PFA0680c,PF3D7_0114100,Pfmc-2TM Maurer_s cleft two transmembrane protein,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Plasmodium falcioparum Maurer_s cleft 2 transmembrane domain protein 1.2_ PfMC-2TM_1.2, ,
PFA0680c,PF3D7_0114100,Pfmc-2TM Maurer_s cleft two transmembrane protein,Exported parasite proteins associated with Maurer�s clefts,http://mpmp.huji.ac.il/maps/Maurer.html,Pfmc-2TM, ,
PFA0680c,PF3D7_0114100,Pfmc-2TM Maurer_s cleft two transmembrane protein,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,Pfmc-2TM Maurer_s cleft two transmembrane protein, ,
PFA0685c,PF3D7_0114200,exported protein family 3,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Exported protein family 3_ EPF3, ,
PFA0685c,PF3D7_0114200,exported protein family 3,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,o-gene, ,
PFA0690w,PF3D7_0114300,exported protein family 4_ pseudogene,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,n-gene, ,
PFA0690w,PF3D7_0114300,exported protein family 4_ pseudogene,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Exported protein family 4_ pseudogene, ,
PFA0695c,PF3D7_0114400,erythrocyte membrane protein 1 (PfEMP1)_ exon 2_ pseudogene,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFA0695c,PF3D7_0114400,erythrocyte membrane protein 1 (PfEMP1)_ exon 2_ pseudogene,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFA0705c,PF3D7_0114600,stevor_ pseudogene,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,STEVOR, ,
PFA0705c,PF3D7_0114600,stevor_ pseudogene,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,STEVOR, ,
PFA0705c,PF3D7_0114600,stevor_ pseudogene,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,stevor, ,
PFA0705c,PF3D7_0114600,stevor_ pseudogene,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,STEVOR pseudogene putative, ,
PFA0710c,PF3D7_0114700,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0710c,PF3D7_0114700,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0710c,PF3D7_0114700,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0725w,PF3D7_0115000,surface-associated interspersed protein 1.3 (SURFIN 1.3),Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,Surfin, ,
PFA0725w,PF3D7_0115000,surface-associated interspersed protein 1.3 (SURFIN 1.3),Subcellular localization of proteins involved in invasion,http://mpmp.huji.ac.il/maps/proteinsLocalizpath.html,Surfin, ,
PFA0740w,PF3D7_0115200,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0740w,PF3D7_0115200,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0740w,PF3D7_0115200,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0745w,PF3D7_0115300,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0745w,PF3D7_0115300,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0745w,PF3D7_0115300,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0750w,PF3D7_0115400,stevor,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,STEVOR, ,
PFA0750w,PF3D7_0115400,stevor,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,STEVOR, ,
PFA0750w,PF3D7_0115400,stevor,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,stevor, ,
PFA0750w,PF3D7_0115400,stevor,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,STEVOR, ,
PFA0755w,PF3D7_0115500,erythrocyte membrane protein 1 (PfEMP1)_ pseudogene,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFA0755w,PF3D7_0115500,erythrocyte membrane protein 1 (PfEMP1)_ pseudogene,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFA0760w,PF3D7_0115600,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFA0760w,PF3D7_0115600,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFA0760w,PF3D7_0115600,rifin,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,rifin, ,
PFA0760w,PF3D7_0115600,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFA0765c,PF3D7_0115700,erythrocyte membrane protein 1_ PfEMP1,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,var, ,
PFA0765c,PF3D7_0115700,erythrocyte membrane protein 1_ PfEMP1,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFA0765c,PF3D7_0115700,erythrocyte membrane protein 1_ PfEMP1,PfEMP1 domain architectures,http://mpmp.huji.ac.il/maps/PfEMP1.html,Type 1a, ,
PFA0765c,PF3D7_0115700,erythrocyte membrane protein 1_ PfEMP1,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFB0010w,PF3D7_0200100,erythrocyte membrane protein 1_ PfEMP1,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFB0010w,PF3D7_0200100,erythrocyte membrane protein 1_ PfEMP1,PfEMP1 domain architectures,http://mpmp.huji.ac.il/maps/PfEMP1.html,Type 16, ,
PFB0010w,PF3D7_0200100,erythrocyte membrane protein 1_ PfEMP1,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFB0010w,PF3D7_0200100,erythrocyte membrane protein 1_ PfEMP1,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,var, ,
PFB0015c,PF3D7_0200200,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFB0015c,PF3D7_0200200,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFB0015c,PF3D7_0200200,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFB0020c,PF3D7_0200300,erythrocyte membrane protein 1 (PfEMP1)_ exon 2,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFB0020c,PF3D7_0200300,erythrocyte membrane protein 1 (PfEMP1)_ exon 2,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFB0025c,PF3D7_0200400,stevor,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,STEVOR, ,
PFB0025c,PF3D7_0200400,stevor,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,STEVOR, ,
PFB0025c,PF3D7_0200400,stevor,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,stevor, ,
PFB0025c,PF3D7_0200400,stevor,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,STEVOR_ putative, ,
PFB0030c,PF3D7_0200500,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFB0030c,PF3D7_0200500,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFB0030c,PF3D7_0200500,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFB0035c,PF3D7_0200600,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFB0035c,PF3D7_0200600,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFB0035c,PF3D7_0200600,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFB0035c,PF3D7_0200600,rifin,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,RIFIN, ,
PFB0040c,PF3D7_0200700,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFB0040c,PF3D7_0200700,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFB0040c,PF3D7_0200700,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFB0045c,PF3D7_0200800,erythrocyte membrane protein 1 (PfEMP1)_ truncated,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,PfEMP1, ,
PFB0045c,PF3D7_0200800,erythrocyte membrane protein 1 (PfEMP1)_ truncated,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP1, ,
PFB0050c,PF3D7_0200900,stevor_ pseudogene,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,STEVOR, ,
PFB0050c,PF3D7_0200900,stevor_ pseudogene,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,STEVOR, ,
PFB0050c,PF3D7_0200900,stevor_ pseudogene,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,stevor, ,
PFB0055c,PF3D7_0201000,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFB0055c,PF3D7_0201000,rifin,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,RIFIN, ,
PFB0055c,PF3D7_0201000,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFB0055c,PF3D7_0201000,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFB0060w,PF3D7_0201200,rifin,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,RIFIN, ,
PFB0060w,PF3D7_0201200,rifin,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,RIFIN, ,
PFB0060w,PF3D7_0201200,rifin,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,rifin, ,
PFB0065w,PF3D7_0201300,stevor,Structure of telomere and sub-telomeric regions,http://priweb.cc.huji.ac.il/malaria//maps/struc_telom.html,stevor, ,
PFB0065w,PF3D7_0201300,stevor,Rosette formation between normal and infected RBC,http://mpmp.huji.ac.il/maps/rosetting.html,STEVOR, ,
PFB0065w,PF3D7_0201300,stevor,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,STEVOR, ,
PFB0085c,PF3D7_0201700,DnaJ protein_ putative,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,DnaJ protein_ putative, ,
PFB0085c,PF3D7_0201700,DnaJ protein_ putative,Genes coding for chaperones and their regulators,http://mpmp.huji.ac.il/maps/Pf_chaperones.html,DNAJ protein_ putative, ,
PFB0090c,PF3D7_0201800,knob associated heat shock protein 40,Genes coding for chaperones and their regulators,http://mpmp.huji.ac.il/maps/Pf_chaperones.html,RESA-like protein with PHIST and DnaJ domains, ,
PFB0095c,PF3D7_0201900,erythrocyte membrane protein 3,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,PfEMP3, ,
PFB0095c,PF3D7_0201900,erythrocyte membrane protein 3,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,erythrocyte membrane protein 3, ,
PFB0095c,PF3D7_0201900,erythrocyte membrane protein 3,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,erythrocyte membrane protein 3, ,
PFB0095c,PF3D7_0201900,erythrocyte membrane protein 3,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,PfEMP3, ,
PFB0095c,PF3D7_0201900,erythrocyte membrane protein 3,Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte,http://mpmp.huji.ac.il/maps/RBC_memb_remodel.html,PfEMP-3, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte,http://mpmp.huji.ac.il/maps/RBC_memb_remodel.html,KAHRP, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Interactions between modified host cell membrane and endothelial cell,http://mpmp.huji.ac.il/maps/cytoadherencescheme.html,KAHRP, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,knob-associated histidine-rich protein KAHRP, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,knob-associated histidine-rich protein, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,knob-associated histidine-rich protein, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,knob-associated histidine-rich protein, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Translocon of exported proteins (PTEX),http://mpmp.huji.ac.il/maps/PTEX.html,KAHRP, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Knob associated histidine-rich protein; KAHRP/HRP-1, ,
PFB0100c,PF3D7_0202000,knob-associated histidine-rich protein,The phosphoproteome of Plasmodium falciparum infected RBCs,http://mpmp.huji.ac.il/maps/phosphopr.html,Knob-associated histidine-rich protein, ,
PFB0105c,PF3D7_0202100,Plasmodium exported protein (PHISTc)_ unknown function,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,Plasmodium exported protein (PHISTc)_ unknown function, ,
PFB0106c,PF3D7_0202200,EMP1 trafficking protein,Total palmitome of Plasmodium falciparum,http://mpmp.huji.ac.il/maps/palmito.html,emp1 trafficking protein, ,
PFB0115w,PF3D7_0202400,conserved Plasmodium protein_ unknown function,Chaperone-mediated modulation of nucleosome-histone interactions,http://mpmp.huji.ac.il/maps/histone_chaperone.html,Chz1, ,
PFB0120w,PF3D7_0202500,early transcribed membrane protein 2,Established and putative Maurer�s clefts proteins,http://mpmp.huji.ac.il/maps/MCprot.html,Early transcribed membrane protein 2_ ETRAMP2, ,
PFB0120w,PF3D7_0202500,early transcribed membrane protein 2,Proteome of the parasitophorous vacuole,http://priweb.cc.huji.ac.il/malaria//maps/protPV.html,ETRAMP2, ,
PFB0120w,PF3D7_0202500,early transcribed membrane protein 2,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,early transcribed membrane protein 2, ,
PFB0120w,PF3D7_0202500,early transcribed membrane protein 2,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,early transcribed membrane protein 2_ ETRAMP2, ,
PFB0120w,PF3D7_0202500,early transcribed membrane protein 2,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,early transcribed membrane protein 2, ,
PFB0120w,PF3D7_0202500,early transcribed membrane protein 2,Characteristics of Plasmodium falciparum export proteins that remodel infected erythrocyte,http://mpmp.huji.ac.il/maps/RBC_memb_remodel.html,ETRAMP2, ,
PFB0130w,PF3D7_0202700,octaprenyl pyrophosphate synthase,Nuclear genes with mitochondrial signal sequences,http://mpmp.huji.ac.il/maps/nuclearGenes.html,octaprenyl pyrophosphate synthase,2.5.1.90,octaprenyl pyrophosphate synthetase_ octaprenyl-diphosphate synthase_ polyprenylpyrophosphate synthetase_ terpenoidallyltransferase_ terpenyl pyrophosphate synthetase_ trans-heptaprenyltranstransferase_ trans-prenyltransferase_ 
PFB0130w,PF3D7_0202700,octaprenyl pyrophosphate synthase,Terpenoid metabolism,http://mpmp.huji.ac.il/maps/Terpenoid.html,all-trans-octaprenyl-diphosphate,2.5.1.90,octaprenyl pyrophosphate synthetase_ octaprenyl-diphosphate synthase_ polyprenylpyrophosphate synthetase_ terpenoidallyltransferase_ terpenyl pyrophosphate synthetase_ trans-heptaprenyltranstransferase_ trans-prenyltransferase_ 
PFB0140w,PF3D7_0202900,palmitoyltransferase_ putative,N-myristoylation_ S-acylation and prenylation of proteins,http://mpmp.huji.ac.il/maps/prenylation.html,Cysteine C-palmitoyltransferase,2.3.1.-,
PFB0145c,PF3D7_0203000,conserved Plasmodium protein_ unknown function,The ATG autophagic pathway,http://mpmp.huji.ac.il/maps/ATG_Autop.html,Atg17, ,
PFB0145c,PF3D7_0203000,conserved Plasmodium protein_ unknown function,Phosphoproteome - Pease et al 2013,http://mpmp.huji.ac.il/maps/phosph_Pease.html,Kid domain containg protein, ,
PFB0150c,PF3D7_0203100,protein kinase_ putative,Phosphoproteome - Treeck et al 2011,http://mpmp.huji.ac.il/maps/phosph_treeck.html,protein kinase_ putative, ,
PFB0150c,PF3D7_0203100,protein kinase_ putative,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,protein kinase_ putative, ,
PFB0150c,PF3D7_0203100,protein kinase_ putative,Protein phosphorylation,http://mpmp.huji.ac.il/maps/phosphorylation.html,Protein kinase,2.7.11.1,
PFB0150c,PF3D7_0203100,protein kinase_ putative,Protein kinase coding genes,http://mpmp.huji.ac.il/maps/Protein_kinases.html,Protein kinase_ putative, ,
PFB0160w,PF3D7_0203300,ERCC1 nucleotide excision repair protein_ putative,Base excision repair of AP sites,http://mpmp.huji.ac.il/maps/baseExcision.html,Endonuclease,4.2.99.18,AP endonuclease class I_ AP lyase_ AP site-DNA 5_-phosphomonoester-lyase_ deoxyribonuclease (apurinic or apyrimidinic)_ E. coli endonuclease III_ endodeoxyribonuclease (apurinic or apyrimidinic)_ Micrococcus luteus UV endonuclease_ phage-T4 UV endonuclease_ X-ray endonuclease III_ 
PFB0160w,PF3D7_0203300,ERCC1 nucleotide excision repair protein_ putative,Genes involved in excision-repair,http://mpmp.huji.ac.il/maps/ExcisionRepairTab.html,ERCC1 nucleotide excision repair protein_ putative; Yeast RAD10,3.1.21.1,alkaline deoxyribonuclease_ alkaline DNase_ deoxyribonuclease (pancreatic)_ deoxyribonuclease A_ deoxyribonucleic phosphatase_ DNA depolymerase_ DNA endonuclease_ DNA nuclease_ DNAase_ DNase_ DNase I_ dornava_ dornavac_ endodeoxyribonuclease I_ Escherichia coli endonuclease I_ pancreatic deoxyribonuclease_ pancreatic DNase_ pancreatic dornase_ thymonuclease_ dornase_ 
PFB0160w,PF3D7_0203300,ERCC1 nucleotide excision repair protein_ putative,Nucleotide excision repair,http://mpmp.huji.ac.il/maps/excisionrepair.html,XPF-ERCC1,3.1.21.1,alkaline deoxyribonuclease_ alkaline DNase_ deoxyribonuclease (pancreatic)_ deoxyribonuclease A_ deoxyribonucleic phosphatase_ DNA depolymerase_ DNA endonuclease_ DNA nuclease_ DNAase_ DNase_ DNase I_ dornava_ dornavac_ endodeoxyribonuclease I_ Escherichia coli endonuclease I_ pancreatic deoxyribonuclease_ pancreatic DNase_ pancreatic dornase_ thymonuclease_ dornase_ 
PFB0175c,PF3D7_0203700,nucleolar preribosomal assembly protein_ putative,Maturation and export of 60S and 40S ribosomal subunits,http://mpmp.huji.ac.il/maps/riboMaturation.html,60S ribosomal subunits A, ,
PFB0175c,PF3D7_0203700,nucleolar preribosomal assembly protein_ putative,Genes coding for components involved in ribosome assembly,http://mpmp.huji.ac.il/maps/Ribosomegenes.html,Nucleolar preribosomal assembly protein_ putative; MAK16_ Essential nuclear protein_ constituent of 66S pre-Ribosomal particles, ,
PFB0180w,PF3D7_0203900,5_-3_ exonuclease_ N-terminal resolvase-like domain_ putative,DNA mismatch repair system,http://mpmp.huji.ac.il/maps/DNArepair.html,5_-3� exonuclease,3.1.16.1,3_-exonuclease_ 3_-nucleotide phosphodiesterase_ phosphodiesterase II_ spleen phosphodiesterase_ 
PFB0180w,PF3D7_0203900,5_-3_ exonuclease_ N-terminal resolvase-like domain_ putative,Genes involved in excision-repair,http://mpmp.huji.ac.il/maps/ExcisionRepairTab.html,5_-3_ exonuclease_ N-terminal resolvase-like domain_ putative,3.1.16.1,3_-exonuclease_ 3_-nucleotide phosphodiesterase_ phosphodiesterase II_ spleen phosphodiesterase_ 
PFB0180w,PF3D7_0203900,5_-3_ exonuclease_ N-terminal resolvase-like domain_ putative,Nuclear genes with apicoplast signal sequences,http://mpmp.huji.ac.il/maps/apicoplastgenes.html,5_-3_ exonuclease_ N-terminal resolvase-like domain_ putative,3.1.16.1,3_-exonuclease_ 3_-nucleotide phosphodiesterase_ phosphodiesterase II_ spleen phosphodiesterase_ 
PFB0196c,PF3D7_0204400,dynein light chain_ putative,Molecular motor prototypes,http://mpmp.huji.ac.il/maps/molecularMotor.html,Dynein light and intermediate chains, ,
PFB0200c,PF3D7_0204500,aspartate aminotransferase,S-Glutathionylated proteins,http://mpmp.huji.ac.il/maps/gluth_prot.html,Aspartate aminotransferase,2.6.1.1,2-oxoglutarate-glutamate aminotransferase_ AAT_ aspartate alpha-ketoglutarate transaminase_ aspartate aminotransferase_ aspartate-2-oxoglutarate transaminase_ aspartate:2-oxoglutarate aminotransferase_ aspartic acid aminotransferase_ aspartic aminotransferase_ aspartyl aminotransferase_ AspT_ AST_ glutamate oxaloacetate transaminase_ glutamate-oxalacetate aminotransferase_ glutamate-oxalate transaminase_ glutamic oxalic transaminase_ glutamic-aspartic aminotransferase_ glutamic-aspartic transaminase_ glutamic-oxalacetic transaminase_ glutamic-oxaloacetic transaminase_ GOT (enzyme)_ L-aspartate transaminase_ L-aspartate-2-ketoglutarate aminotransferase_ L-aspartate-2-oxoglutarate aminotransferase_ L-aspartate-2-oxoglutarate-transaminase_ L-aspartate-alpha-ketoglutarate transaminase_ L-aspartic aminotransferase_ oxaloacetate transferase_ oxaloacetate-aspartate aminotransferase_ transaminase A_ 
PFB0200c,PF3D7_0204500,aspartate aminotransferase,Glutamate metabolism,http://mpmp.huji.ac.il/maps/glutamatemetpath.html,Aspartate transaminase,2.6.1.1,2-oxoglutarate-glutamate aminotransferase_ AAT_ aspartate alpha-ketoglutarate transaminase_ aspartate aminotransferase_ aspartate-2-oxoglutarate transaminase_ aspartate:2-oxoglutarate aminotransferase_ aspartic acid aminotransferase_ aspartic aminotransferase_ aspartyl aminotransferase_ AspT_ AST_ glutamate oxaloacetate transaminase_ glutamate-oxalacetate aminotransferase_ glutamate-oxalate transaminase_ glutamic oxalic transaminase_ glutamic-aspartic aminotransferase_ glutamic-aspartic transaminase_ glutamic-oxalacetic transaminase_ glutamic-oxaloacetic transaminase_ GOT (enzyme)_ L-aspartate transaminase_ L-aspartate-2-ketoglutarate aminotransferase_ L-aspartate-2-oxoglutarate aminotransferase_ L-aspartate-2-oxoglutarate-transaminase_ L-aspartate-alpha-ketoglutarate transaminase_ L-aspartic aminotransferase_ oxaloacetate transferase_ oxaloacetate-aspartate aminotransferase_ transaminase A_ 
PFB0200c,PF3D7_0204500,aspartate aminotransferase,Phosphoproteome - Lasonder et al 2011,http://mpmp.huji.ac.il/maps/phosph_Lasonder.html,aspartate aminotransferase,2.6.1.1,2-oxoglutarate-glutamate aminotransferase_ AAT_ aspartate alpha-ketoglutarate transaminase_ aspartate aminotransferase_ aspartate-2-oxoglutarate transaminase_ aspartate:2-oxoglutarate aminotransferase_ aspartic acid aminotransferase_ aspartic aminotransferase_ aspartyl aminotransferase_ AspT_ AST_ glutamate oxaloacetate transaminase_ glutamate-oxalacetate aminotransferase_ glutamate-oxalate transaminase_ glutamic oxalic transaminase_ glutamic-aspartic aminotransferase_ glutamic-aspartic transaminase_ glutamic-oxalacetic transaminase_ glutamic-oxaloacetic transaminase_ GOT (enzyme)_ L-aspartate transaminase_ L-aspartate-2-ketoglutarate aminotransferase_ L-aspartate-2-oxoglutarate aminotransferase_ L-aspartate-2-oxoglutarate-transaminase_ L-aspartate-alpha-ketoglutarate transaminase_ L-aspartic aminotransferase_ oxaloacetate transferase_ oxaloacetate-aspartate aminotransferase_ transaminase A_ 
