Geneid	Chr	Start	End	Strand	Length	hisat2/Ap20-GFP-SFC-16h-R1.bam	hisat2/Ap20-GFP-SFC-16h-R2.bam	hisat2/Ap20-GFP-SFC-4h-R1.bam	hisat2/Ap20-GFP-SFC-4h-R2.bam	hisat2/Ap20-GFP-SFC-8h-R1.bam	hisat2/Ap20-GFP-SFC-8h-R2.bam	hisat2/GFPcon-16hr-R1.bam	hisat2/GFPcon-16hr-R2.bam	hisat2/GFPcon-4hr-R1.bam	hisat2/GFPcon-4hr-R2.bam	hisat2/GFPcon-8hr-R1_S9.bam	hisat2/GFPcon-8hr-R2.bam	hisat2/RM-10_S417.bam	hisat2/RM-1_S408.bam	hisat2/RM-2_S409.bam	hisat2/RM-3_S410.bam	hisat2/RM-4_S411.bam	hisat2/RM-5_S412.bam	hisat2/RM-6_S413.bam	hisat2/RM-7_S414.bam	hisat2/RM-8_S415.bam	hisat2/RM-9_S416.bam	hisat2/F-1_SRR5260552.bam	hisat2/F-2_SRR5260551.bam	hisat2/F-3_SRR5260550.bam	hisat2/F1_21725_8_4.bam	hisat2/F2_21725_8_5.bam	hisat2/F3_21725_8_6.bam
PBANKA_0936700	PbANKA_09_v3	1322109	1323671	+	1563	320	724	298	208	757	317	1314	564	200	1	587	220	12	827	1450	543	284	488	336	1675	92	120	528	512	497	2503	1824	2480
PBANKA_1361600	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	2353365;2354155;2356415;2358783;2358932	2354025;2356228;2358652;2358848;2358953	+;+;+;+;+	5061	24	112	281	130	160	85	108	20	70	3	110	76	8	192	6861	1758	742	154	357	182	32	77	670	456	539	2345	2587	2479
PBANKA_1450400	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	1947196;1947504;1947731;1948002;1948857;1950929;1951329;1951952;1952184;1952456;1952764;1953045;1953313;1953808	1947369;1947585;1947890;1948719;1950795;1951175;1951701;1952086;1952273;1952598;1952914;1953152;1953567;1954851	-;-;-;-;-;-;-;-;-;-;-;-;-;-	5619	56	243	194	107	176	60	211	44	106	2	103	57	0	145	3934	1048	418	154	151	172	22	35	680	660	580	2609	1911	2476
PBANKA_1118300	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	684843;685313;685686	685176;685535;686115	+;+;+	987	430	2096	136	100	476	89	702	141	68	0	227	87	2	246	248	73	29	42	28	451	4	13	356	383	338	2323	1867	2476
PBANKA_0604400	PbANKA_06_v3	227334	228323	+	990	113	354	161	120	429	131	291	85	59	1	179	77	0	186	417	149	63	8	44	337	7	10	734	672	596	2155	1589	2476
PBANKA_1019200	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	799573;800194;800682;800914;801119;801399;801581	799609;800531;800777;800988;801302;801484;801655	+;+;+;+;+;+;+	891	551	2151	810	573	2445	511	3746	690	413	1	1214	527	8	504	349	174	99	123	184	671	58	86	814	858	915	2910	2257	2475
PBANKA_0524000	PbANKA_05_v3	882750	886316	-	3567	133	455	224	193	181	70	406	104	63	0	158	102	1	641	908	285	176	364	279	1089	21	46	392	411	335	2180	1898	2471
PBANKA_1204900	PbANKA_12_v3;PbANKA_12_v3	203290;203582	203397;204337	+;+	864	103	462	73	63	160	21	218	37	26	0	48	30	5	159	757	238	115	57	62	279	10	35	410	391	427	2390	1800	2471
PBANKA_1020100	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	838445;838646;838887;839133;839372;839826;840227;840519;841122;841285;841530;841727;842033;842212;842458;842823	838559;838806;838991;839236;839728;840130;840384;841036;841202;841445;841609;841852;842125;842338;842596;843057	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2865	769	2261	479	394	1317	489	3184	1749	950	0	871	390	8	465	364	132	86	94	130	840	59	98	1478	1410	1491	2522	1872	2468
PBANKA_0621800	PbANKA_06_v3;PbANKA_06_v3	869696;870698	870589;870883	+;+	1080	188	724	137	85	428	76	388	70	43	1	232	61	13	103	508	142	68	27	26	171	5	14	997	997	857	2308	1663	2468
PBANKA_0616600	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	709873;710247;710624;710782	710058;710495;710687;710816	-;-;-;-	534	1486	7065	318	247	1235	233	1760	450	387	0	498	203	0	418	316	123	55	46	14	645	11	17	1255	1468	1507	3350	2228	2467
PBANKA_0406900	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	252482;252624;253968	252487;253817;254165	+;+;+	1398	1538	4834	514	333	2564	566	4253	1117	610	0	1099	360	2	630	169	101	74	153	52	1161	55	108	392	233	289	2869	1733	2465
PBANKA_0105600	PbANKA_01_v3	233100	235901	+	2802	138	278	217	157	244	152	200	132	181	0	144	122	0	91	1042	310	117	94	89	234	20	35	1278	1815	1698	2889	2344	2464
PBANKA_0919600	PbANKA_09_v3	728225	730222	+	1998	31	54	228	148	184	71	139	33	42	0	177	105	0	310	1200	345	162	44	211	232	7	14	1151	1228	1084	2591	2286	2464
PBANKA_0622600	PbANKA_06_v3;PbANKA_06_v3	908915;912928	912838;913203	+;+	4200	125	751	91	86	176	50	413	85	21	0	114	62	11	431	1258	359	168	783	315	613	32	39	188	182	211	2647	1994	2462
PBANKA_1402600	PbANKA_14_v3;PbANKA_14_v3	172551;175187	175056;175377	-;-	2697	26	100	441	338	328	286	213	244	834	0	410	261	0	203	1563	478	175	29	110	155	11	34	1326	1129	1437	2605	1899	2462
PBANKA_1023000	PbANKA_10_v3	918618	922079	+	3462	38	177	84	56	86	38	170	48	37	1	52	35	2	203	803	186	81	91	124	356	3	7	777	651	586	2280	2006	2460
PBANKA_1210700	PbANKA_12_v3;PbANKA_12_v3	396216;396929	396586;397136	-;-	579	942	1205	429	326	593	273	762	650	1273	0	691	284	3	136	475	131	79	15	26	216	6	16	2944	2524	3101	2351	2339	2459
PBANKA_1213600	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	524804;526671;527219	526435;526825;527438	-;-;-	2007	622	1174	826	638	1900	848	2101	1197	815	2	1133	595	0	525	632	237	122	43	110	805	33	34	2522	1912	2304	2062	2086	2459
PBANKA_1231200	PbANKA_12_v3	1204764	1205699	-	936	621	2455	538	368	1803	354	1970	515	170	1	657	277	3	674	480	206	116	110	127	1183	16	83	483	459	393	2793	2064	2458
PBANKA_0709100	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	355109;355302;355568	355219;355433;355741	-;-;-	417	415	1372	142	87	573	97	517	96	135	0	309	103	2	116	583	220	96	104	48	277	16	56	1915	2396	2580	2420	1869	2458
PBANKA_1142900	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1611474;1611603;1611835;1612039;1612355	1611509;1611743;1611900;1612181;1612457	-;-;-;-;-	489	305	921	156	135	661	228	358	176	566	2	285	122	0	52	324	92	55	14	15	102	3	13	1742	2073	2069	2485	2144	2452
PBANKA_0705900	PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3;PbANKA_07_v3	262909;263195;263349;263534;263825;264070;264258;264408;264621;264886;265055;265249;265413;265684;265949;266282	263001;263238;263418;263712;263932;264158;264292;264482;264757;264952;265113;265329;265561;265856;266107;266515	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1752	256	810	195	182	543	166	508	332	379	2	219	123	0	208	330	78	32	14	17	202	5	12	1516	1409	1512	2148	2222	2449
PBANKA_0901800	PbANKA_09_v3	48100	51246	-	3147	56	100	119	69	76	41	72	40	37	1	34	28	1	251	565	176	91	73	234	392	12	19	364	461	418	2895	1926	2449
PBANKA_1143600	PbANKA_11_v3	1628404	1632060	+	3657	144	258	204	160	170	95	291	179	65	2	98	103	4	269	526	180	81	99	211	392	16	17	1211	1346	1413	2341	2082	2446
PBANKA_0514500	PbANKA_05_v3	552514	553686	+	1173	191	420	138	90	270	72	346	99	118	0	222	77	0	275	920	309	134	72	78	568	7	17	575	660	661	2707	2016	2445
PBANKA_1426400	PbANKA_14_v3	1020989	1022647	+	1659	205	446	126	129	249	70	318	101	58	1	160	49	0	411	360	133	73	65	130	618	16	29	613	568	687	2290	1757	2445
PBANKA_0906200	PbANKA_09_v3	206269	207096	-	828	335	657	137	111	445	113	857	207	102	0	290	116	3	361	385	147	78	60	59	784	18	40	1103	1152	1224	2445	2001	2442
PBANKA_0620900	PbANKA_06_v3	832218	835586	-	3369	889	2156	770	543	1410	903	3270	2340	774	2	1415	676	3	700	927	418	275	643	335	1465	102	228	821	765	794	2349	1965	2440
PBANKA_1352000	PbANKA_13_v3;PbANKA_13_v3	1980669;1980929	1980677;1982131	+;+	1212	237	856	255	157	506	132	621	173	200	1	244	135	0	168	556	156	75	21	57	375	8	31	2265	2807	2864	2234	1882	2438
PBANKA_1321000	PbANKA_13_v3	863106	864881	-	1776	156	315	149	120	201	63	317	80	66	1	165	79	0	602	533	132	69	61	104	864	16	28	1495	1137	1247	2242	2161	2436
PBANKA_1410600	PbANKA_14_v3;PbANKA_14_v3	447175;450162	449919;450431	-;-	3015	85	352	50	28	55	15	98	20	17	4	28	15	0	156	479	137	84	62	131	277	15	16	432	406	389	2385	1850	2431
PBANKA_1212500	PbANKA_12_v3	469774	473736	+	3963	19	39	133	90	116	41	87	11	37	0	56	44	1	224	625	192	100	48	110	203	9	8	582	513	578	2875	2311	2428
PBANKA_1118400	PbANKA_11_v3;PbANKA_11_v3	687034;687566	687469;690354	+;+	3225	146	777	76	84	295	108	880	175	37	2	242	123	1	462	702	263	192	492	238	1152	34	59	126	105	113	2558	1950	2426
PBANKA_0904600	PbANKA_09_v3	161941	165516	-	3576	104	497	254	142	275	130	421	108	60	2	231	145	1	213	4331	1245	500	332	217	417	38	49	1956	1419	1532	2334	2393	2424
PBANKA_1039400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1575710;1576155;1576570	1575812;1576240;1576830	+;+;+	450	1008	4957	251	208	1048	241	1080	488	1170	0	396	195	0	213	540	177	112	81	83	569	35	77	1664	2242	2271	2401	1965	2421
PBANKA_1142300	PbANKA_11_v3	1589536	1592931	-	3396	138	1023	62	45	149	39	373	60	19	1	112	48	12	567	654	184	107	215	207	704	12	25	209	214	212	2285	2004	2419
PBANKA_0935300	PbANKA_09_v3;PbANKA_09_v3	1284041;1286572	1286466;1286680	+;+	2535	105	316	117	104	151	40	307	72	30	1	99	63	1	366	567	157	92	35	102	558	6	29	327	327	308	2671	1718	2416
PBANKA_1031100	PbANKA_10_v3	1250119	1255548	+	5430	6	21	21	16	28	24	13	10	12	1	20	17	3	49	435	119	59	20	57	36	1	10	363	372	484	2573	2405	2414
PBANKA_1425000	PbANKA_14_v3	955332	957863	+	2532	87	98	98	66	78	77	91	70	45	1	66	63	4	45	694	222	91	99	76	90	7	10	396	583	704	2796	2217	2413
PBANKA_0611800	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	514961;515496;517153	514995;516932;517207	-;-;-	1527	528	1863	337	264	1046	277	2264	422	252	3	639	258	5	601	799	304	127	155	226	1294	91	194	1328	1331	1498	2177	1934	2410
PBANKA_1003800	PbANKA_10_v3;PbANKA_10_v3	226677;228209	228052;228317	-;-	1485	490	528	607	459	753	363	639	455	877	1	370	289	0	260	417	109	52	8	28	224	8	13	2394	2146	2729	2109	2195	2406
PBANKA_1234500	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1323717;1325419;1325893	1323825;1325750;1326027	+;+;+	576	469	2030	313	225	1041	200	1406	349	300	0	410	183	2	321	618	170	83	157	131	825	48	99	1517	1605	1743	2486	2322	2405
PBANKA_0820100	PbANKA_08_v3;PbANKA_08_v3	801997;802791	802661;802857	-;-	732	7	52	49	28	117	33	48	7	43	0	33	17	0	39	275	79	32	5	19	39	3	7	1185	1211	1255	2755	2227	2404
PBANKA_1410400	PbANKA_14_v3	441076	442911	+	1836	547	595	760	600	714	461	614	833	1247	0	517	318	1	237	503	152	90	12	47	270	19	29	1871	1485	1806	2370	2100	2401
PBANKA_1365100	PbANKA_13_v3	2466438	2470847	+	4410	21	74	119	60	127	61	109	45	35	1	58	57	0	97	1477	431	171	47	117	170	15	23	445	469	413	2167	2001	2395
PBANKA_1314700	PbANKA_13_v3	619440	621836	-	2397	35	71	87	64	72	32	65	22	30	1	55	32	3	167	730	247	116	45	80	260	5	12	815	823	780	2439	1902	2390
PBANKA_1119200	PbANKA_11_v3	726869	727921	-	1053	9921	39684	651	462	7086	1527	17516	5654	1142	0	2603	750	46	1472	279	103	80	1706	107	3833	228	399	1647	1929	1845	2220	2028	2383
PBANKA_0607800	PbANKA_06_v3	379545	381464	+	1920	97	176	225	168	376	122	414	88	152	1	298	94	4	254	1192	377	170	88	142	376	15	18	981	932	1000	2467	1796	2383
PBANKA_1208300	PbANKA_12_v3;PbANKA_12_v3	330281;332515	332377;332613	+;+	2196	131	451	82	88	143	50	163	54	55	0	78	42	0	153	140	31	18	16	26	244	0	5	156	117	155	2579	1529	2380
PBANKA_0802000	PbANKA_08_v3	113003	119143	+	6141	58	101	146	115	109	71	60	58	24	1	56	56	0	158	621	243	103	88	282	226	14	10	70	210	159	3544	1774	2378
PBANKA_1130000	PbANKA_11_v3	1140485	1143367	+	2883	41	88	70	45	70	55	75	42	42	2	53	40	7	112	832	248	124	43	94	110	11	13	377	384	407	2212	1826	2376
PBANKA_1310600	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	487490;487832;488163	487703;488034;488360	+;+;+	615	363	935	125	82	367	160	356	286	316	0	213	85	0	74	317	76	49	6	18	96	9	19	770	713	801	2174	1825	2376
PBANKA_1340100	PbANKA_13_v3	1573731	1574681	+	951	754	4030	360	212	1468	484	1603	1011	1664	0	694	339	3	201	1100	385	233	56	37	379	32	81	2039	4180	4883	1853	2202	2372
PBANKA_1012500	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	571641;571820;572273;572623;572802;573007;573346;573545;573830;574052;574209;574540;576036;577072;577270;577613;578076;578227	571663;572055;572522;572702;572869;573231;573416;573664;573964;574114;574343;575915;576928;577164;577505;577964;578120;578292	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4467	490	1670	303	178	1021	246	1619	362	88	3	612	255	6	711	2261	692	368	447	279	1441	79	138	1669	1520	1586	2502	2409	2371
PBANKA_0815800	PbANKA_08_v3	659310	659933	-	624	204	1279	153	125	532	64	429	98	53	1	143	61	0	214	300	99	42	12	41	366	10	15	594	634	553	2360	1622	2371
PBANKA_1346700	PbANKA_13_v3;PbANKA_13_v3	1823997;1824605	1824122;1824898	+;+	420	2970	9889	315	324	1438	937	2928	4809	2375	0	1224	521	1	124	531	174	73	90	37	298	23	79	1898	2600	2810	2379	2234	2370
PBANKA_0104800	PbANKA_01_v3	198567	201569	-	3003	37	91	81	51	98	35	95	36	38	0	68	50	2	188	1215	340	147	95	165	301	3	14	395	392	378	2248	1874	2366
PBANKA_1313300	PbANKA_13_v3	574582	576039	-	1458	30	93	110	71	172	34	148	22	29	2	114	35	0	177	646	173	89	24	61	185	5	26	503	370	358	2924	2011	2361
PBANKA_1130200	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1146436;1146975;1147353	1146782;1147153;1147492	-;-;-	666	152	510	46	27	174	44	265	43	26	0	84	43	3	87	211	60	32	18	8	192	2	8	625	614	690	2426	1543	2361
PBANKA_0402100	PbANKA_04_v3	81605	87079	+	5475	529	1830	385	269	1165	456	2046	745	219	4	878	334	6	770	3725	1025	449	276	248	1258	44	60	354	429	440	2287	2342	2360
PBANKA_1036800	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1490863;1493394;1494037;1494444	1493301;1493901;1494285;1495561	+;+;+;+	4314	18	64	42	38	35	25	86	29	23	2	40	44	2	248	378	109	63	46	147	316	6	10	307	257	318	2596	1739	2355
PBANKA_1134000	PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3;PbANKA_11_v3	1272619;1272915;1273167;1273385	1272777;1273004;1273243;1276808	-;-;-;-	3750	49	96	55	57	75	37	52	34	52	2	48	25	0	155	521	123	64	128	114	158	12	16	321	461	433	2765	1729	2355
PBANKA_1004400	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	244625;244848;245054;245445;245727	244729;244937;245304;245525;246057	-;-;-;-;-	858	97	212	117	89	155	119	117	182	500	0	153	76	0	37	208	53	32	9	15	46	0	4	1059	1163	1206	2085	1532	2354
PBANKA_0303300	PbANKA_03_v3	100992	102851	+	1860	76	215	149	87	221	60	175	42	80	3	144	83	3	219	2122	656	311	65	117	324	8	36	121	158	126	2535	1815	2351
PBANKA_1302300	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	142573;143422;147898;148486;148681;148877;149017	142717;147768;148345;148567;148760;148901;149070	+;+;+;+;+;+;+	5181	13	64	146	81	114	54	63	25	66	1	77	56	0	53	1301	335	165	29	60	35	3	7	210	244	272	2714	1730	2350
PBANKA_0415600	PbANKA_04_v3;PbANKA_04_v3;PbANKA_04_v3	556650;556809;556996	556712;556877;559821	-;-;-	2958	64	285	91	59	84	48	172	46	78	1	82	51	2	145	1714	504	204	340	143	235	13	32	368	415	347	2276	1998	2344
PBANKA_0102800	PbANKA_01_v3	125050	129579	-	4530	49	178	84	65	79	30	164	42	22	2	77	53	3	234	1010	296	137	57	107	351	14	17	246	213	236	2137	1770	2343
PBANKA_0938200	PbANKA_09_v3;PbANKA_09_v3	1372408;1372916	1372682;1373099	-;-	459	64	189	37	22	79	17	103	7	2	0	55	18	0	62	185	56	24	8	17	122	4	5	636	681	426	2149	1321	2343
PBANKA_0402900	PbANKA_04_v3	107475	111140	+	3666	671	2859	292	191	1092	225	2185	392	86	1	503	195	0	1041	881	285	140	138	256	2065	38	67	459	360	348	2193	1961	2337
PBANKA_0601000	PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3;PbANKA_06_v3	100982;101598;101900;102103;102479;102753;103242	101084;101806;101968;102302;102648;102973;104963	-;-;-;-;-;-;-	2694	231	429	207	156	271	119	437	242	169	2	168	83	0	461	387	96	48	29	184	651	18	38	914	776	935	2357	1876	2337
PBANKA_1025000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	1003268;1003419;1003587;1003904;1004250;1004603	1003293;1003492;1003704;1004048;1004484;1004649	-;-;-;-;-;-	645	580	1308	400	293	971	372	982	682	800	0	441	188	2	223	313	80	42	28	73	289	16	33	1256	1118	1325	2870	2075	2336
PBANKA_1236400	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	1385634;1386036;1387587;1387738;1387993;1388222	1385885;1387393;1387658;1387848;1388052;1388288	+;+;+;+;+;+	1920	173	413	232	167	413	115	603	166	111	2	217	111	11	544	482	147	67	77	154	780	17	33	640	572	635	2479	1842	2334
PBANKA_0800300	PbANKA_08_v3	22571	24247	+	1677	201	384	267	191	338	127	295	261	428	0	184	98	1	211	205	62	35	5	16	284	4	4	1283	1201	1259	2233	1982	2331
PBANKA_1446000	PbANKA_14_v3	1763015	1765765	-	2751	1	13	20	7	20	6	6	7	7	1	13	4	3	16	511	107	34	7	15	15	0	2	1290	1056	1209	2247	1912	2331
PBANKA_1139100	PbANKA_11_v3;PbANKA_11_v3	1486136;1489200	1488959;1489336	+;+	2961	16	21	49	23	69	22	45	11	14	2	33	17	0	72	448	144	49	11	29	76	1	1	388	349	351	2321	1695	2330
PBANKA_1013000	PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3;PbANKA_10_v3	595556;595886;596088;596312;596512;596651;596914;597074;597276;597446	595759;595960;596156;596404;596573;596806;596979;597147;597367;598765	-;-;-;-;-;-;-;-;-;-	2211	82	190	133	78	247	64	220	41	189	3	187	65	7	208	980	309	78	28	53	159	7	31	1218	992	1049	2115	2205	2328
PBANKA_1450200	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	1941751;1941942;1942165	1941753;1942043;1943388	+;+;+	1329	255	528	452	329	618	467	576	510	938	0	696	385	0	90	1313	437	203	35	47	173	8	20	2117	2012	2244	2148	2093	2327
PBANKA_0836800	PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3	1349533;1349792;1350123;1350418;1350589;1351025	1349634;1350025;1350232;1350487;1350823;1351266	-;-;-;-;-;-	993	24	97	26	13	32	10	110	32	126	2	87	26	0	39	158	57	30	0	9	16	1	2	859	1258	1287	1928	1618	2327
PBANKA_0903300	PbANKA_09_v3	119741	120868	-	1128	28	139	67	40	43	21	191	27	17	0	43	31	0	182	318	98	48	51	63	271	9	11	287	242	218	2693	1488	2325
PBANKA_0613300	PbANKA_06_v3	577355	579319	+	1965	132	333	384	226	954	340	518	131	254	1	452	160	0	291	529	175	72	36	41	170	11	10	706	648	789	2781	2101	2324
PBANKA_1325200	PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3;PbANKA_13_v3	997491;997617;997853;998156;998338;998489;998640	997518;997703;998004;998240;998391;998558;998778	-;-;-;-;-;-;-	615	60	246	411	341	1062	375	518	203	600	1	521	223	0	123	622	196	100	28	45	147	15	29	4221	4047	4196	2114	1876	2324
PBANKA_0210700	PbANKA_02_v3;PbANKA_02_v3	395695;397488	397318;397903	+;+	2040	31	70	114	110	88	50	110	109	98	2	118	91	0	232	1114	333	136	47	215	283	5	6	563	552	508	2196	1848	2323
PBANKA_1207800	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	306075;306932;307212	306716;307036;307325	-;-;-	861	14	45	41	52	60	24	30	11	71	0	34	9	0	87	295	98	39	7	38	68	4	13	921	863	1050	2806	2095	2322
PBANKA_1107400	PbANKA_11_v3	288715	291873	+	3159	244	596	267	176	313	174	483	235	201	3	217	138	6	363	883	234	103	239	199	586	31	69	889	1010	972	2149	1888	2319
PBANKA_1218800	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	719427;719680;727568;727887	719533;727475;727670;728028	-;-;-;-	8148	48	132	134	112	171	60	156	42	43	3	119	56	2	697	1988	535	348	151	429	591	19	37	213	316	266	2189	1766	2319
PBANKA_0708800	PbANKA_07_v3;PbANKA_07_v3	349122;349377	349264;351033	-;-	1800	530	860	228	182	407	256	1192	723	324	0	395	256	1	402	532	177	90	68	141	682	58	119	864	860	1046	2390	1956	2317
PBANKA_1449500	PbANKA_14_v3;PbANKA_14_v3;PbANKA_14_v3	1917753;1917984;1918422	1917789;1918312;1918499	+;+;+	444	7133	9686	1571	1205	4189	2506	7226	8025	6138	0	4038	1417	1	221	655	233	112	68	28	444	80	192	4485	4312	4849	2344	2012	2316
PBANKA_0911500	PbANKA_09_v3	428696	430036	+	1341	36	131	192	138	141	47	154	39	111	0	176	79	0	279	1037	345	158	19	100	421	10	43	1073	947	915	1946	1557	2316
PBANKA_0901700	PbANKA_09_v3;PbANKA_09_v3	46982;47315	47067;47462	+;+	234	1129	1381	432	250	1988	626	803	393	982	0	1120	253	2	27	242	62	43	5	6	41	2	6	2278	2253	2238	2100	1558	2314
PBANKA_0615200	PbANKA_06_v3;PbANKA_06_v3	632420;633391	633215;634181	+;+	1587	186	466	578	354	785	252	603	227	426	1	468	230	10	418	2113	669	286	43	184	633	23	45	1423	1181	1356	2104	1831	2313
PBANKA_1303500	PbANKA_13_v3	203118	203660	-	543	593	1835	272	211	661	168	620	249	784	0	364	110	0	136	489	129	72	17	25	230	11	17	3674	3259	3641	2238	1763	2312
PBANKA_0513000	PbANKA_05_v3;PbANKA_05_v3	498870;499975	499850;500094	-;-	1101	3316	7613	813	694	3918	1701	6755	5246	1776	0	2795	958	21	784	278	145	84	182	45	1442	131	180	1110	986	1297	2760	2028	2311
PBANKA_0312300	PbANKA_03_v3	426134	427177	-	1044	229	458	75	58	135	42	437	166	175	1	86	32	0	156	455	139	43	85	90	261	19	51	343	322	396	3144	2070	2306
PBANKA_0711700	PbANKA_07_v3;PbANKA_07_v3	447602;447775	447630;448621	-;-	876	181	559	97	72	135	30	426	68	28	0	72	26	0	229	242	83	29	53	74	350	9	16	382	356	327	2419	1888	2306
PBANKA_1344600	PbANKA_13_v3	1766660	1767601	-	942	291	1525	213	131	440	69	738	87	58	0	214	108	2	419	668	218	112	139	161	531	28	71	666	614	654	2816	1981	2304
PBANKA_0811300	PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3	505117;505388;505688;505986;506202;509644	505176;505451;505811;506064;509304;509696	-;-;-;-;-;-	3483	156	485	395	242	613	331	487	424	670	4	374	205	0	297	1330	404	150	27	126	407	8	21	1494	1686	1696	1979	1922	2304
PBANKA_1223300	PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3;PbANKA_12_v3	882470;882904;883183;883493	882806;883042;883248;883556	-;-;-;-	606	333	548	294	197	464	220	603	426	341	0	232	191	1	179	427	123	46	8	38	191	4	12	1387	1359	1758	1815	2181	2301
PBANKA_1415600	PbANKA_14_v3	625628	628462	+	2835	209	238	616	436	451	331	447	476	1389	0	574	362	5	283	1829	489	209	24	152	383	16	58	1919	1579	1831	2047	2160	2301
PBANKA_0833600	PbANKA_08_v3;PbANKA_08_v3;PbANKA_08_v3	1260568;1260768;1261363	1260684;1261072;1264813	-;-;-	3873	40	182	89	73	123	37	162	34	16	2	77	43	1	301	700	200	109	61	219	378	9	17	263	251	253	1754	1898	2301
PBANKA_0410300	PbANKA_04_v3	377264	378175	+	912	607	2058	362	220	1196	166	1233	180	115	0	459	175	0	229	629	178	56	48	31	531	15	58	1341	1710	1544	2645	1870	2301
PBANKA_1428900	PbANKA_14_v3	1124423	1127395	-	2973	201	393	451	315	342	226	318	269	279	0	218	171	6	225	1845	540	328	325	206	303	25	43	911	934	1138	1947	1872	2299
